	transcr_Otin_B_pos	transcr_Otin_A_pos	transcr_Otin_M_pos
0|1	de quei franceis ont li plusur envie . fillol , fait il , |or as ta lei cumplie . baptizé es ,	puis dit , |dont plusors ont envie : filloeil dit il , jhesu te b beneïe ! |Or as mahom et ta loi degrepie , 	de quei franceis unt li plusur envie . est la lei empli . ptize avez vostre lei gerpie . prenez mea filhe belissent a amie ; 
2|3	si as ta lei guerpie . pernez ma fillie belesent a amie ; |pur lui te doins vercels e morie , auste e plesence , melan e pavie . sire serras de tute lumbardie . otinel l' ot , vers la terre se plie , les piez li baise , 	si crois en dieu le fix sainte marie , Jhesu de gloire croiras mes an aïe . ber , |pren ma fille belissant l' echevie : |por li avrez mout riche manantie : sires serez de tote lanbardie .	pur li vos doins verceles e inorie , chaste e placence , mela e pavie . sire serez de tute lumbardie . 
4	forment s' umilie : sire , fait il , 	Otinel l' entent , vers la terre se plie . sire , dit il , 	otinel l' ot , vers la terre se plie , les piez lui beise , forment se humilie : sire fait il ço 
5	ço ne refuis jo mie ,	ce ne refuse je mie 	ne rufs jo mie , 
6	si la pucele le comant e otrie . dit belisent jo me tienc pur garrie ; de bon mari , ne me deit peser mie . la meie amur n' iert ja vers vus guenchie . dist otinel : 	se la pucelle me veut , je bien l' otriee . dit belissant : |ge m' en tien a garnie de tel mari 	si la pucele cummande e jo l otrie . dist belissant : |e jo me tient pur garie ; de bon marri ne me deit peser mie . la mei amur n' ert ja vers lui guenchie . dit otinel : 
		doi je bien estre lie . 	
7	quant vus estes m' amie , 	jamés m' amor n' ert de vus eslongnie . dit Otinel : |par foi , je vos afie , 	quant vus estes m' amie , 
8	pur vostre amur frai chevalerie devant atille de m' espee furbie . mort sunt paien 	por vostre amor feraie chevalerie desus paien , la pugent haïe , au branc d' acier , par devant atilie . droiz emperere , je vos lais en balie la vostre file |qui a ma druerie , 	pur la vostre amur |frai jo chevalerie devant atilie a m' espee forbiee . mort sunt paen 
		Tant que vendrons plains de lombardie . les nosces erent es prez souz atylie , 	
9	quant ai pris baptisterie . dreiz emperere 	quant j avrai mort l' empereor garsilie . ens	quant ai baptesmerie . dreiz empereres 
10	a vus coment m' amie treske vendruns as pleins de lumbardie . les noeces erent es prez de suz hatilie , 	ou palés 	a vus commant m' amie treske nos venums al pleins de lumbadie . les noces serrunt aprez toz atelie , 
			quant averai mort l' emperur garsie . 
11	quant averai mort l' emperur garsie . en sun paleis est li reis muntez , si grant barnage est apres lui alé ; li mangier est ja prest e conreez ; cil le mangerent 	s' en est li rois entrez ; son grant barnage est avec lui alez . le megier est tot prest|et conreaez : 	den sun palais est li reis muntez , cis granz barnages |apres lui est alez ; li mangir est prest e cunrez 
			; cil le mangerent 
		Cil le mengierent 	
12	a ki il fu donez .	a qui il fu donnez . aprés mengier 	a qui il fud donez . 
13|14	aprés supers est li vins aportez enz en la chambre u li reis est entrez . dormir s' en vont ,|si ont les uis fermez desk' al demain 	si est checuns levez , li rois meïsme est en sa chebre alez . dormir se vont , sil ont les huis fremez jusqu au matin 	apres li supers est li vins aportez enz en la chambre |u li reis est entrez . dormir s' en unt ; |si unt les hus fermez |desque al deman
15	que li soleil est levez . li reis se leve , ses baruns at mandé .	que le jor paru cler . li rois se leve , |s' a sé homes mandez	que li soleil est levez . li rei se live si ad ses baruns mandez ;
